indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
107172,,6,2008m4,28apr2008,2346.6084,0,33,61,24,3,1,3,10,1,0,22,28,1,1,2008q2,LZ,1,0,1,1
107472,,1,2007m4,09apr2007,,1,34,1,75,2,1,2,10,2,0,21,45,1,1,2007q2,MN,1,1,1,0
107472,,2,2007m7,09jul2007,,1,34,4,75,2,1,2,10,2,0,21,60,1,1,2007q3,MN,1,1,1,0
107472,,3,2007m10,08oct2007,2493.9006,1,34,7,75,2,1,2,10,2,0,21,59,1,1,2007q4,MN,1,1,1,0
107578,40,1,2007m1,29jan2007,1518.1886,0,38,276,24,3,3,3,10,1,0,43,35,1,4,2007q1,GI,1,0,1,1
107578,,2,2007m4,30apr2007,1524.0109,0,39,276,24,3,3,3,10,1,0,43,28,1,4,2007q2,GI,1,0,1,1
107578,,3,2007m7,30jul2007,1531.9712,0,39,276,24,3,3,3,10,1,0,43,35,1,4,2007q3,GI,1,0,1,1
107578,,4,2007m10,29oct2007,1543.2272,0,39,276,24,3,3,3,10,1,0,43,27.5,1,4,2007q4,GI,1,0,1,1
107578,,5,2008m1,28jan2008,1558.3773,0,39,288,24,3,3,3,10,1,0,43,35,1,4,2008q1,GI,1,0,1,1
107582,,5,2008m1,28jan2008,3877.9705,1,38,,24,3,1,3,10,3,0,21,35,6,1,2008q1,GI,1,0,1,1
107582,,6,2008m4,28apr2008,3843.5505,1,38,,24,3,1,3,10,3,0,21,28,6,1,2008q2,GI,1,0,1,1
107586,,1,2007m4,30apr2007,2103.7212,0,51,84,24,3,1,3,10,1,0,32,35,1,1,2007q2,KZ,1,0,1,1
107586,,2,2007m7,30jul2007,2117.7327,0,51,84,24,3,1,3,10,1,0,32,35,1,1,2007q3,KZ,1,0,1,1
107586,,3,2007m10,29oct2007,2138.5186,0,52,84,24,3,1,3,10,1,0,32,28,1,1,2007q4,KZ,1,0,1,1
107586,,4,2008m1,28jan2008,2163.7302,0,52,96,24,3,1,3,10,1,0,32,35,1,1,2008q1,KZ,1,0,1,1
107658,,1,2007m8,06aug2007,1324.9641,1,24,16,82,3,3,3,10,3,0,32,50,1,1,2007q3,MN,1,1,1,0
107658,,2,2007m11,05nov2007,,1,25,19,82,3,3,3,10,3,0,32,38,1,1,2007q4,MN,1,1,1,0
107658,,3,2008m2,04feb2008,,1,25,22,82,3,3,3,10,3,0,32,43,1,1,2008q1,MN,1,1,1,0
107658,,4,2008m5,05may2008,1778.9624,1,25,25,82,3,3,3,10,3,0,32,26,1,1,2008q2,MN,1,1,1,0
107658,42,5,2008m8,04aug2008,1791.5397,1,25,28,82,3,1,3,10,3,0,32,41,1,1,2008q3,MN,1,1,1,0
107658,39,6,2008m11,03nov2008,1853.8687,1,26,31,82,3,1,3,10,3,0,32,45,1,1,2008q4,MN,1,1,1,0
107662,,2,2007m11,05nov2007,1297.3214,0,24,30,82,1,1,3,10,1,0,41,35,6,1,2007q4,GI,1,1,1,0
107662,,3,2008m5,05may2008,1220.5763,0,24,36,82,1,1,3,10,1,0,41,35,6,1,2008q2,GI,1,1,1,0
107662,,4,2008m8,04aug2008,1462.7792,0,25,39,82,1,1,3,10,1,0,41,38.5,6,1,2008q3,GI,1,1,1,0
107665,45,2,2007m11,05nov2007,,1,28,10,82,3,3,3,15,3,0,43,40.5,9,9,2007q4,BE,2,1,1,0
107665,,3,2008m2,04feb2008,1643.8025,1,28,13,82,3,3,3,15,3,0,43,36.5,9,9,2008q1,BE,2,1,1,0
107665,40,4,2008m5,05may2008,1672.491,1,28,16,82,3,3,3,15,3,0,43,32,9,9,2008q2,BE,2,1,1,0
107665,45,5,2008m8,04aug2008,,1,28,19,82,3,3,3,15,3,0,43,36.5,9,9,2008q3,BE,2,1,1,0
107665,45,6,2008m11,03nov2008,1626.3182,1,29,22,82,3,3,3,15,3,0,43,22.5,9,9,2008q4,BE,2,1,1,0
108006,,2,2007m4,30apr2007,1681.9402,1,41,240,24,2,1,3,10,2,0,52,21,1,1,2007q2,GI,1,0,1,0
108006,,4,2007m10,29oct2007,1704.1864,1,41,240,24,2,1,3,10,2,0,52,24,1,1,2007q4,GI,1,0,1,0
108006,,5,2008m1,28jan2008,1717.3091,1,41,252,24,2,1,3,10,2,0,52,35,1,1,2008q1,GI,1,0,1,0
108009,,2,2007m6,25jun2007,4669.3784,1,46,228,78,3,1,3,10,3,0,21,60,1,1,2007q2,BE,1,1,1,1
108009,,3,2007m9,24sep2007,4725.9395,1,46,228,78,3,1,3,10,3,0,21,60,1,1,2007q3,BE,1,1,1,1
108214,,1,2006m12,11dec2006,1918.545,1,46,300,85,3,1,3,10,3,0,71,37,1,1,2006q4,GI,1,0,1,0
108214,,3,2007m6,11jun2007,1918.6533,1,47,312,85,3,1,3,10,3,0,71,37,1,1,2007q2,GI,1,0,1,0
108214,,4,2007m9,10sep2007,1912.8091,1,47,312,85,3,1,3,10,3,0,71,37,1,1,2007q3,GI,1,0,1,0
108214,,5,2007m12,10dec2007,1914.1998,1,47,312,85,3,1,3,10,3,0,71,37,1,1,2007q4,GI,1,0,1,0
108323,,1,2007m3,19mar2007,1875.8251,1,47,252,68,3,1,3,21,3,0,61,50,4,4,2007q1,BE,3,1,1,0
108323,50,2,2007m6,18jun2007,1924.6292,1,47,252,68,3,1,3,21,3,0,61,50,4,4,2007q2,BE,3,1,1,0
108323,45,3,2007m9,17sep2007,2000.452,1,48,252,68,3,1,3,21,3,0,61,40,4,4,2007q3,BE,3,1,1,0
108323,45,4,2007m12,17dec2007,2073.4773,1,48,252,68,3,1,3,21,3,0,61,45,4,4,2007q4,BE,3,1,1,0
108323,,6,2008m6,16jun2008,2131.6274,1,48,264,68,3,1,3,21,3,0,61,40,4,4,2008q2,BE,3,1,1,0
108355,,1,2007m3,26mar2007,2102.0457,0,54,45,78,2,3,1,10,2,0,32,40,1,1,2007q1,LZ,1,1,1,1
108355,,2,2007m9,24sep2007,,0,55,50,78,2,3,1,10,2,0,32,35,1,1,2007q3,LZ,1,1,1,1
108355,,3,2007m12,24dec2007,2254.8625,0,55,53,78,2,3,1,10,2,0,32,30,1,1,2007q4,LZ,1,1,1,1
